|1 | inetpc    | eth1 | 192.168.1.1 | - | 192.168.1.2 | Success | - | - |
|2 | inetpc    | eth1 | 192.168.1.1 | - | 192.168.2.1 | Failed  | - | - |
|3 | inetpc    | eth1 | 192.168.1.1 | - | 192.168.2.2 | Failed  | - | - |
|4 | inetpc    | eth1 | 192.168.1.1 | - | 172.16.1.1  | Failed  | - | - |
|5 | inetpc    | eth1 | 192.168.1.1 | - | 172.16.1.2  | Failed  | - | - |
|6 | inetpc    | eth1 | 192.168.1.1 | - | 172.16.2.1  | Failed  | - | - |
|7 | inetpc    | eth1 | 192.168.1.1 | - | 172.16.2.2  | Failed  | - | - |
|8 | inetpc    | eth2 | 192.168.2.1 | - | 192.168.1.1 | Failed  | - | - |
|9 | inetpc    | eth2 | 192.168.2.1 | - | 192.168.1.2 | Failed  | - | - |
|10| inetpc    | eth2 | 192.168.2.1 | - | 192.168.2.2 | Success | - | - |
|11| inetpc    | eth2 | 192.168.2.1 | - | 172.16.1.1  | Failed  | - | - |
|12| inetpc    | eth2 | 192.168.2.1 | - | 172.16.1.2  | Failed  | - | - |
|13| inetpc    | eth2 | 192.168.2.1 | - | 172.16.2.1  | Failed  | - | - |
|14| inetpc    | eth2 | 192.168.2.1 | - | 172.16.2.2  | Failed  | - | - |
|15| dept1     | eth1 | 192.168.1.2 | - | 192.168.1.1 | Success | - | - |
|16| dept1     | eth1 | 192.168.1.2 | - | 192.168.2.1 | Success | - | - |
|17| dept1     | eth1 | 192.168.1.2 | - | 192.168.2.2 | Failed  | - | - |
|18| dept1     | eth1 | 192.168.1.2 | - | 172.16.1.1  | Failed  | - | - |
|19| dept1     | eth1 | 192.168.1.2 | - | 172.16.1.2  | Failed  | - | - |
|20| dept1     | eth1 | 192.168.1.2 | - | 172.16.2.1  | Failed  | - | - |
|21| dept1     | eth1 | 192.168.1.2 | - | 172.16.2.2  | Failed  | - | - |
|22| dept1     | eth2 | 172.16.1.1  | - | 192.168.1.1 | Failed  | - | - |
|23| dept1     | eth2 | 172.16.1.1  | - | 192.168.1.2 | Failed  | - | - |
|24| dept1     | eth2 | 172.16.1.1  | - | 192.168.2.1 | Failed  | - | - |
|25| dept1     | eth2 | 172.16.1.1  | - | 192.168.2.2 | Failed  | - | - |
|26| dept1     | eth2 | 172.16.1.1  | - | 172.16.1.2  | Success | - | - |
|27| dept1     | eth2 | 172.16.1.1  | - | 172.16.2.1  | Failed  | - | - |
|28| dept1     | eth2 | 172.16.1.1  | - | 172.16.2.2  | Failed  | - | - |
|29| dept2     | eth1 | 192.168.2.2 | - | 192.168.1.1 | Success | - | - |
|30| dept2     | eth1 | 192.168.2.2 | - | 192.168.1.2 | Failed  | - | - |
|31| dept2     | eth1 | 192.168.2.2 | - | 192.168.2.1 | Success | - | - |
|32| dept2     | eth1 | 192.168.2.2 | - | 172.16.1.1  | Failed  | - | - |
|33| dept2     | eth1 | 192.168.2.2 | - | 172.16.1.2  | Failed  | - | - |
|34| dept2     | eth1 | 192.168.2.2 | - | 172.16.2.1  | Failed  | - | - |
|35| dept2     | eth1 | 192.168.2.2 | - | 172.16.2.2  | Failed  | - | - |
|36| dept2     | eth2 | 172.16.2.1  | - | 192.168.1.1 | Failed  | - | - |
|37| dept2     | eth2 | 172.16.2.1  | - | 192.168.1.2 | Failed  | - | - |
|38| dept2     | eth2 | 172.16.2.1  | - | 192.168.2.1 | Failed  | - | - |
|39| dept2     | eth2 | 172.16.2.1  | - | 192.168.2.2 | Failed  | - | - |
|40| dept2     | eth2 | 172.16.2.1  | - | 172.16.1.1  | Failed  | - | - |
|41| dept2     | eth2 | 172.16.2.1  | - | 172.16.1.2  | Failed  | - | - |
|42| dept2     | eth2 | 172.16.2.1  | - | 172.16.2.2  | Success | - | - |
|43| dept1lab1 | eth1 | 172.16.1.2  | - | 192.168.1.1 | Failed  | - | - |
|44| dept1lab1 | eth1 | 172.16.1.2  | - | 192.168.1.2 | Success | - | - |
|45| dept1lab1 | eth1 | 172.16.1.2  | - | 192.168.2.1 | Failed  | - | - |
|46| dept1lab1 | eth1 | 172.16.1.2  | - | 192.168.2.2 | Failed  | - | - |
|47| dept1lab1 | eth1 | 172.16.1.2  | - | 172.16.1.1  | Success | - | - |
|48| dept1lab1 | eth1 | 172.16.1.2  | - | 172.16.2.1  | Failed  | - | - |
|49| dept1lab1 | eth1 | 172.16.1.2  | - | 172.16.2.2  | Failed  | - | - |
|50| dept2lab2 | eth1 | 172.16.2.2  | - | 192.168.1.1 | Failed  | - | - |
|51| dept2lab2 | eth1 | 172.16.2.2  | - | 192.168.1.2 | Failed  | - | - |
|52| dept2lab2 | eth1 | 172.16.2.2  | - | 192.168.2.1 | Failed  | - | - |
|53| dept2lab2 | eth1 | 172.16.2.2  | - | 192.168.2.2 | Success | - | - |
|54| dept2lab2 | eth1 | 172.16.2.2  | - | 172.16.1.1  | Failed  | - | - |
|55| dept2lab2 | eth1 | 172.16.2.2  | - | 172.16.1.2  | Failed  | - | - |
|56| dept2lab2 | eth1 | 172.16.2.2  | - | 172.16.2.1  | Success | - | - |
